motivo	module	IDhomer	target	caste	status
M10	ME3W	ME3W.M18	725485	worker	novel_motif
M10	ME3W	ME3W.M18	113218954	worker	novel_motif
M10	ME3W	ME3W.M18	102654521	worker	novel_motif
M10	ME3W	ME3W.M18	412838	worker	novel_motif
M10	ME3W	ME3W.M18	725331	worker	novel_motif
M10	ME3W	ME3W.M18	725220	worker	novel_motif
M10	ME3W	ME3W.M18	100576948	worker	novel_motif
M10	ME3W	ME3W.M18	408915	worker	novel_motif
M10	ME3W	ME3W.M18	100576293	worker	novel_motif
M10	ME3W	ME3W.M18	551259	worker	novel_motif
M10	ME3W	ME3W.M18	411748	worker	novel_motif
M10	ME3W	ME3W.M18	413410	worker	novel_motif
M10	ME3W	ME3W.M18	413474	worker	novel_motif
M10	ME3W	ME3W.M18	408874	worker	novel_motif
M10	ME3W	ME3W.M18	100577213	worker	novel_motif
M10	ME3W	ME3W.M18	409291	worker	novel_motif
M10	ME3W	ME3W.M18	726914	worker	novel_motif
M10	ME3W	ME3W.M18	411113	worker	novel_motif
M10	ME3W	ME3W.M18	113218777	worker	novel_motif
M10	ME3W	ME3W.M18	413170	worker	novel_motif
M10	ME3W	ME3W.M18	411078	worker	novel_motif
M10	ME3W	ME3W.M18	725015	worker	novel_motif
M10	ME3W	ME3W.M18	724973	worker	novel_motif
M10	ME3W	ME3W.M18	413440	worker	novel_motif
M10	ME3W	ME3W.M18	100578955	worker	novel_motif
M10	ME3W	ME3W.M18	100578706	worker	novel_motif
M10	ME3W	ME3W.M18	102655354	worker	novel_motif
M10	ME3W	ME3W.M18	113218626	worker	novel_motif
M10	ME3W	ME3W.M18	550964	worker	novel_motif
M10	ME3W	ME3W.M18	413858	worker	novel_motif
M10	ME3W	ME3W.M18	100578165	worker	novel_motif
M10	ME3W	ME3W.M18	410967	worker	novel_motif
M10	ME3W	ME3W.M18	725829	worker	novel_motif
M10	ME3W	ME3W.M18	107964028	worker	novel_motif
M10	ME3W	ME3W.M18	100577670	worker	novel_motif
M10	ME3W	ME3W.M18	409038	worker	novel_motif
M10	ME3W	ME3W.M18	102655706	worker	novel_motif
M10	ME3W	ME3W.M18	551071	worker	novel_motif
M10	ME3W	ME3W.M18	726544	worker	novel_motif
M10	ME3W	ME3W.M18	113219398	worker	novel_motif
M11	ME3W	ME3W.M7	412739	worker	novel_motif
M11	ME3W	ME3W.M7	408528	worker	novel_motif
M11	ME3W	ME3W.M7	102655865	worker	novel_motif
M11	ME3W	ME3W.M7	409674	worker	novel_motif
M11	ME3W	ME3W.M7	406068	worker	novel_motif
M11	ME3W	ME3W.M7	724047	worker	novel_motif
M11	ME3W	ME3W.M7	408500	worker	novel_motif
M11	ME3W	ME3W.M7	107965486	worker	novel_motif
M11	ME3W	ME3W.M7	408444	worker	novel_motif
M11	ME3W	ME3W.M7	406148	worker	novel_motif
M11	ME3W	ME3W.M7	409829	worker	novel_motif
M11	ME3W	ME3W.M7	113218526	worker	novel_motif
M11	ME3W	ME3W.M7	726790	worker	novel_motif
M11	ME3W	ME3W.M7	410166	worker	novel_motif
M11	ME3W	ME3W.M7	409108	worker	novel_motif
M11	ME3W	ME3W.M7	724292	worker	novel_motif
M11	ME3W	ME3W.M7	100820634	worker	novel_motif
M11	ME3W	ME3W.M7	413109	worker	novel_motif
M11	ME3W	ME3W.M7	410309	worker	novel_motif
M11	ME3W	ME3W.M7	409061	worker	novel_motif
M11	ME3W	ME3W.M7	100578780	worker	novel_motif
M11	ME3W	ME3W.M7	724458	worker	novel_motif
M11	ME3W	ME3W.M7	413504	worker	novel_motif
M11	ME3W	ME3W.M7	107965037	worker	novel_motif
M11	ME3W	ME3W.M7	552518	worker	novel_motif
M11	ME3W	ME3W.M7	409001	worker	novel_motif
M11	ME3W	ME3W.M7	409012	worker	novel_motif
M11	ME3W	ME3W.M7	406153	worker	novel_motif
M11	ME3W	ME3W.M7	413382	worker	novel_motif
M11	ME3W	ME3W.M7	113218954	worker	novel_motif
M11	ME3W	ME3W.M7	726829	worker	novel_motif
M11	ME3W	ME3W.M7	102654521	worker	novel_motif
M11	ME3W	ME3W.M7	412838	worker	novel_motif
M11	ME3W	ME3W.M7	725331	worker	novel_motif
M11	ME3W	ME3W.M7	725220	worker	novel_motif
M11	ME3W	ME3W.M7	406072	worker	novel_motif
M11	ME3W	ME3W.M7	100576948	worker	novel_motif
M11	ME3W	ME3W.M7	408915	worker	novel_motif
M11	ME3W	ME3W.M7	551259	worker	novel_motif
M11	ME3W	ME3W.M7	411748	worker	novel_motif
M11	ME3W	ME3W.M7	413474	worker	novel_motif
M11	ME3W	ME3W.M7	408874	worker	novel_motif
M11	ME3W	ME3W.M7	100577213	worker	novel_motif
M11	ME3W	ME3W.M7	726914	worker	novel_motif
M11	ME3W	ME3W.M7	411113	worker	novel_motif
M11	ME3W	ME3W.M7	113218777	worker	novel_motif
M11	ME3W	ME3W.M7	413170	worker	novel_motif
M11	ME3W	ME3W.M7	411078	worker	novel_motif
M11	ME3W	ME3W.M7	725015	worker	novel_motif
M11	ME3W	ME3W.M7	724973	worker	novel_motif
M11	ME3W	ME3W.M7	100578955	worker	novel_motif
M11	ME3W	ME3W.M7	100578706	worker	novel_motif
M11	ME3W	ME3W.M7	102655354	worker	novel_motif
M11	ME3W	ME3W.M7	550964	worker	novel_motif
M11	ME3W	ME3W.M7	100578165	worker	novel_motif
M11	ME3W	ME3W.M7	410967	worker	novel_motif
M11	ME3W	ME3W.M7	107964028	worker	novel_motif
M11	ME3W	ME3W.M7	113218605	worker	novel_motif
M11	ME3W	ME3W.M7	100577670	worker	novel_motif
M11	ME3W	ME3W.M7	412354	worker	novel_motif
M11	ME3W	ME3W.M7	551071	worker	novel_motif
M11	ME3W	ME3W.M7	725284	worker	novel_motif
M11	ME3W	ME3W.M7	410035	worker	novel_motif
M11	ME3W	ME3W.M7	113219398	worker	novel_motif
M12	ME3W	ME3W.M21	102655865	worker	novel_motif
M12	ME3W	ME3W.M21	409674	worker	novel_motif
M12	ME3W	ME3W.M21	411958	worker	novel_motif
M12	ME3W	ME3W.M21	724047	worker	novel_motif
M12	ME3W	ME3W.M21	107965486	worker	novel_motif
M12	ME3W	ME3W.M21	406148	worker	novel_motif
M12	ME3W	ME3W.M21	408438	worker	novel_motif
M12	ME3W	ME3W.M21	408435	worker	novel_motif
M12	ME3W	ME3W.M21	410166	worker	novel_motif
M12	ME3W	ME3W.M21	410309	worker	novel_motif
M12	ME3W	ME3W.M21	409061	worker	novel_motif
M12	ME3W	ME3W.M21	724458	worker	novel_motif
M12	ME3W	ME3W.M21	726262	worker	novel_motif
M12	ME3W	ME3W.M21	113219057	worker	novel_motif
M12	ME3W	ME3W.M21	409001	worker	novel_motif
M12	ME3W	ME3W.M21	409012	worker	novel_motif
M12	ME3W	ME3W.M21	406153	worker	novel_motif
M12	ME3W	ME3W.M21	726829	worker	novel_motif
M12	ME3W	ME3W.M21	409771	worker	novel_motif
M12	ME3W	ME3W.M21	725220	worker	novel_motif
M12	ME3W	ME3W.M21	100576948	worker	novel_motif
M12	ME3W	ME3W.M21	413410	worker	novel_motif
M12	ME3W	ME3W.M21	413474	worker	novel_motif
M12	ME3W	ME3W.M21	726914	worker	novel_motif
M12	ME3W	ME3W.M21	725015	worker	novel_motif
M12	ME3W	ME3W.M21	724973	worker	novel_motif
M12	ME3W	ME3W.M21	408803	worker	novel_motif
M12	ME3W	ME3W.M21	413440	worker	novel_motif
M12	ME3W	ME3W.M21	410967	worker	novel_motif
M12	ME3W	ME3W.M21	107964028	worker	novel_motif
M12	ME3W	ME3W.M21	113218605	worker	novel_motif
M12	ME3W	ME3W.M21	100577670	worker	novel_motif
M12	ME3W	ME3W.M21	551071	worker	novel_motif
M12	ME3W	ME3W.M21	410035	worker	novel_motif
M12	ME3W	ME3W.M21	726544	worker	novel_motif
M13	ME3W	ME3W.M22	412739	worker	novel_motif
M13	ME3W	ME3W.M22	408528	worker	novel_motif
M13	ME3W	ME3W.M22	409674	worker	novel_motif
M13	ME3W	ME3W.M22	724047	worker	novel_motif
M13	ME3W	ME3W.M22	408500	worker	novel_motif
M13	ME3W	ME3W.M22	107965486	worker	novel_motif
M13	ME3W	ME3W.M22	408444	worker	novel_motif
M13	ME3W	ME3W.M22	100578990	worker	novel_motif
M13	ME3W	ME3W.M22	406148	worker	novel_motif
M13	ME3W	ME3W.M22	408438	worker	novel_motif
M13	ME3W	ME3W.M22	408435	worker	novel_motif
M13	ME3W	ME3W.M22	410166	worker	novel_motif
M13	ME3W	ME3W.M22	413109	worker	novel_motif
M13	ME3W	ME3W.M22	410309	worker	novel_motif
M13	ME3W	ME3W.M22	409061	worker	novel_motif
M13	ME3W	ME3W.M22	100578780	worker	novel_motif
M13	ME3W	ME3W.M22	724458	worker	novel_motif
M13	ME3W	ME3W.M22	726262	worker	novel_motif
M13	ME3W	ME3W.M22	113219057	worker	novel_motif
M13	ME3W	ME3W.M22	409012	worker	novel_motif
M13	ME3W	ME3W.M22	406153	worker	novel_motif
M13	ME3W	ME3W.M22	413382	worker	novel_motif
M13	ME3W	ME3W.M22	113218954	worker	novel_motif
M13	ME3W	ME3W.M22	102654521	worker	novel_motif
M13	ME3W	ME3W.M22	412838	worker	novel_motif
M13	ME3W	ME3W.M22	725331	worker	novel_motif
M13	ME3W	ME3W.M22	725220	worker	novel_motif
M13	ME3W	ME3W.M22	406072	worker	novel_motif
M13	ME3W	ME3W.M22	408915	worker	novel_motif
M13	ME3W	ME3W.M22	100576293	worker	novel_motif
M13	ME3W	ME3W.M22	551259	worker	novel_motif
M13	ME3W	ME3W.M22	411748	worker	novel_motif
M13	ME3W	ME3W.M22	413474	worker	novel_motif
M13	ME3W	ME3W.M22	408874	worker	novel_motif
M13	ME3W	ME3W.M22	726914	worker	novel_motif
M13	ME3W	ME3W.M22	411113	worker	novel_motif
M13	ME3W	ME3W.M22	413170	worker	novel_motif
M13	ME3W	ME3W.M22	411078	worker	novel_motif
M13	ME3W	ME3W.M22	724973	worker	novel_motif
M13	ME3W	ME3W.M22	408803	worker	novel_motif
M13	ME3W	ME3W.M22	413440	worker	novel_motif
M13	ME3W	ME3W.M22	100578706	worker	novel_motif
M13	ME3W	ME3W.M22	100578165	worker	novel_motif
M13	ME3W	ME3W.M22	410967	worker	novel_motif
M13	ME3W	ME3W.M22	107964028	worker	novel_motif
M13	ME3W	ME3W.M22	100577670	worker	novel_motif
M13	ME3W	ME3W.M22	100578498	worker	novel_motif
M13	ME3W	ME3W.M22	102655706	worker	novel_motif
M13	ME3W	ME3W.M22	412354	worker	novel_motif
M13	ME3W	ME3W.M22	551071	worker	novel_motif
M13	ME3W	ME3W.M22	410035	worker	novel_motif
M13	ME3W	ME3W.M22	552530	worker	novel_motif
M13	ME3W	ME3W.M22	726544	worker	novel_motif
M14	ME6W	ME6W.M2	551799	worker	novel_motif
M14	ME6W	ME6W.M2	410600	worker	novel_motif
M14	ME6W	ME6W.M2	409665	worker	novel_motif
M14	ME6W	ME6W.M2	727081	worker	novel_motif
M14	ME6W	ME6W.M2	410538	worker	novel_motif
M14	ME6W	ME6W.M2	409715	worker	novel_motif
M14	ME6W	ME6W.M2	551895	worker	novel_motif
M14	ME6W	ME6W.M2	724727	worker	novel_motif
M14	ME6W	ME6W.M2	725289	worker	novel_motif
M14	ME6W	ME6W.M2	727000	worker	novel_motif
M14	ME6W	ME6W.M2	411490	worker	novel_motif
M14	ME6W	ME6W.M2	408903	worker	novel_motif
M14	ME6W	ME6W.M2	100576826	worker	novel_motif
M14	ME6W	ME6W.M2	100578665	worker	novel_motif
M14	ME6W	ME6W.M2	113218723	worker	novel_motif
M14	ME6W	ME6W.M2	408780	worker	novel_motif
M14	ME6W	ME6W.M2	107964343	worker	novel_motif
M14	ME6W	ME6W.M2	411018	worker	novel_motif
M14	ME6W	ME6W.M2	100578579	worker	novel_motif
M14	ME6W	ME6W.M2	724604	worker	novel_motif
M14	ME6W	ME6W.M2	552311	worker	novel_motif
M14	ME6W	ME6W.M2	100578072	worker	novel_motif
M14	ME6W	ME6W.M2	409091	worker	novel_motif
M14	ME6W	ME6W.M2	413501	worker	novel_motif
M14	ME6W	ME6W.M2	408598	worker	novel_motif
M2	ME1W	ME1W.M9	552641	worker	novel_motif
M2	ME1W	ME1W.M9	413213	worker	novel_motif
M2	ME1W	ME1W.M9	552354	worker	novel_motif
M2	ME1W	ME1W.M9	100191002	worker	novel_motif
M2	ME1W	ME1W.M9	726950	worker	novel_motif
M2	ME1W	ME1W.M9	409025	worker	novel_motif
M2	ME1W	ME1W.M9	411269	worker	novel_motif
M2	ME1W	ME1W.M9	552051	worker	novel_motif
M2	ME1W	ME1W.M9	551806	worker	novel_motif
M2	ME1W	ME1W.M9	550875	worker	novel_motif
M2	ME1W	ME1W.M9	406075	worker	novel_motif
M2	ME1W	ME1W.M9	411231	worker	novel_motif
M2	ME1W	ME1W.M9	408950	worker	novel_motif
M2	ME1W	ME1W.M9	411515	worker	novel_motif
M2	ME1W	ME1W.M9	412923	worker	novel_motif
M2	ME1W	ME1W.M9	724919	worker	novel_motif
M2	ME1W	ME1W.M9	408596	worker	novel_motif
M3	ME1W	ME1W.M8	725315	worker	novel_motif
M3	ME1W	ME1W.M8	413517	worker	novel_motif
M3	ME1W	ME1W.M8	100578560	worker	novel_motif
M3	ME1W	ME1W.M8	410040	worker	novel_motif
M3	ME1W	ME1W.M8	409549	worker	novel_motif
M3	ME1W	ME1W.M8	409862	worker	novel_motif
M3	ME1W	ME1W.M8	724407	worker	novel_motif
M3	ME1W	ME1W.M8	410280	worker	novel_motif
M3	ME1W	ME1W.M8	100191002	worker	novel_motif
M3	ME1W	ME1W.M8	409201	worker	novel_motif
M3	ME1W	ME1W.M8	725142	worker	novel_motif
M3	ME1W	ME1W.M8	724241	worker	novel_motif
M3	ME1W	ME1W.M8	100577269	worker	novel_motif
M3	ME1W	ME1W.M8	102655603	worker	novel_motif
M3	ME1W	ME1W.M8	552645	worker	novel_motif
M3	ME1W	ME1W.M8	725569	worker	novel_motif
M3	ME1W	ME1W.M8	409589	worker	novel_motif
M3	ME1W	ME1W.M8	408819	worker	novel_motif
M3	ME1W	ME1W.M8	724808	worker	novel_motif
M3	ME1W	ME1W.M8	724274	worker	novel_motif
M3	ME1W	ME1W.M8	551960	worker	novel_motif
M3	ME1W	ME1W.M8	726542	worker	novel_motif
M3	ME1W	ME1W.M8	726221	worker	novel_motif
M3	ME1W	ME1W.M8	726145	worker	novel_motif
M4	ME1W	ME1W.M6	410638	worker	novel_motif
M4	ME1W	ME1W.M6	551861	worker	novel_motif
M4	ME1W	ME1W.M6	550932	worker	novel_motif
M4	ME1W	ME1W.M6	409090	worker	novel_motif
M4	ME1W	ME1W.M6	550915	worker	novel_motif
M4	ME1W	ME1W.M6	409961	worker	novel_motif
M4	ME1W	ME1W.M6	413266	worker	novel_motif
M4	ME1W	ME1W.M6	409379	worker	novel_motif
M4	ME1W	ME1W.M6	406108	worker	novel_motif
M4	ME1W	ME1W.M6	410280	worker	novel_motif
M4	ME1W	ME1W.M6	410082	worker	novel_motif
M4	ME1W	ME1W.M6	409861	worker	novel_motif
M4	ME1W	ME1W.M6	413053	worker	novel_motif
M4	ME1W	ME1W.M6	107965036	worker	novel_motif
M4	ME1W	ME1W.M6	107965038	worker	novel_motif
M4	ME1W	ME1W.M6	550715	worker	novel_motif
M4	ME1W	ME1W.M6	409420	worker	novel_motif
M4	ME1W	ME1W.M6	408983	worker	novel_motif
M4	ME1W	ME1W.M6	726361	worker	novel_motif
M4	ME1W	ME1W.M6	725710	worker	novel_motif
M4	ME1W	ME1W.M6	409599	worker	novel_motif
M4	ME1W	ME1W.M6	409814	worker	novel_motif
M4	ME1W	ME1W.M6	724320	worker	novel_motif
M4	ME1W	ME1W.M6	100576746	worker	novel_motif
M4	ME1W	ME1W.M6	411732	worker	novel_motif
M4	ME1W	ME1W.M6	411191	worker	novel_motif
M4	ME1W	ME1W.M6	412810	worker	novel_motif
M4	ME1W	ME1W.M6	552272	worker	novel_motif
M4	ME1W	ME1W.M6	409528	worker	novel_motif
M4	ME1W	ME1W.M6	724516	worker	novel_motif
M4	ME1W	ME1W.M6	413785	worker	novel_motif
M4	ME1W	ME1W.M6	409500	worker	novel_motif
M4	ME1W	ME1W.M6	552692	worker	novel_motif
M4	ME1W	ME1W.M6	409155	worker	novel_motif
M4	ME1W	ME1W.M6	100576759	worker	novel_motif
M4	ME1W	ME1W.M6	552322	worker	novel_motif
M4	ME1W	ME1W.M6	552475	worker	novel_motif
M4	ME1W	ME1W.M6	725102	worker	novel_motif
M4	ME1W	ME1W.M6	102654638	worker	novel_motif
M4	ME1W	ME1W.M6	409406	worker	novel_motif
M4	ME1W	ME1W.M6	408654	worker	novel_motif
M4	ME1W	ME1W.M6	551395	worker	novel_motif
M4	ME1W	ME1W.M6	726840	worker	novel_motif
M4	ME1W	ME1W.M6	724367	worker	novel_motif
M4	ME1W	ME1W.M6	409489	worker	novel_motif
M4	ME1W	ME1W.M6	102655243	worker	novel_motif
M4	ME1W	ME1W.M6	724625	worker	novel_motif
M4	ME1W	ME1W.M6	724719	worker	novel_motif
M4	ME1W	ME1W.M6	409481	worker	novel_motif
M4	ME1W	ME1W.M6	551318	worker	novel_motif
M4	ME1W	ME1W.M6	409749	worker	novel_motif
M4	ME1W	ME1W.M6	409418	worker	novel_motif
M4	ME1W	ME1W.M6	409930	worker	novel_motif
M4	ME1W	ME1W.M6	751098	worker	novel_motif
M5	ME1W	ME1W.M17	552724	worker	novel_motif
M5	ME1W	ME1W.M17	726322	worker	novel_motif
M5	ME1W	ME1W.M17	726247	worker	novel_motif
M5	ME1W	ME1W.M17	725641	worker	novel_motif
M5	ME1W	ME1W.M17	413053	worker	novel_motif
M5	ME1W	ME1W.M17	102656008	worker	novel_motif
M5	ME1W	ME1W.M17	725880	worker	novel_motif
M5	ME1W	ME1W.M17	725240	worker	novel_motif
M5	ME1W	ME1W.M17	409409	worker	novel_motif
M5	ME1W	ME1W.M17	726818	worker	novel_motif
M5	ME1W	ME1W.M17	100577071	worker	novel_motif
M5	ME1W	ME1W.M17	409326	worker	novel_motif
M5	ME1W	ME1W.M17	724490	worker	novel_motif
M5	ME1W	ME1W.M17	100359410	worker	novel_motif
M5	ME1W	ME1W.M17	409726	worker	novel_motif
M5	ME1W	ME1W.M17	551541	worker	novel_motif
M5	ME1W	ME1W.M17	552475	worker	novel_motif
M5	ME1W	ME1W.M17	411515	worker	novel_motif
M5	ME1W	ME1W.M17	725036	worker	novel_motif
M5	ME1W	ME1W.M17	100576118	worker	novel_motif
M5	ME1W	ME1W.M17	726793	worker	novel_motif
M5	ME1W	ME1W.M17	102653614	worker	novel_motif
M5	ME1W	ME1W.M17	100576447	worker	novel_motif
M5	ME1W	ME1W.M17	406132	worker	novel_motif
M6	ME3W	ME3W.M9	551848	worker	novel_motif
M6	ME3W	ME3W.M9	412739	worker	novel_motif
M6	ME3W	ME3W.M9	725115	worker	novel_motif
M6	ME3W	ME3W.M9	408528	worker	novel_motif
M6	ME3W	ME3W.M9	102655865	worker	novel_motif
M6	ME3W	ME3W.M9	409674	worker	novel_motif
M6	ME3W	ME3W.M9	406068	worker	novel_motif
M6	ME3W	ME3W.M9	411958	worker	novel_motif
M6	ME3W	ME3W.M9	724047	worker	novel_motif
M6	ME3W	ME3W.M9	408442	worker	novel_motif
M6	ME3W	ME3W.M9	408500	worker	novel_motif
M6	ME3W	ME3W.M9	107965486	worker	novel_motif
M6	ME3W	ME3W.M9	551303	worker	novel_motif
M6	ME3W	ME3W.M9	408444	worker	novel_motif
M6	ME3W	ME3W.M9	100578990	worker	novel_motif
M6	ME3W	ME3W.M9	406148	worker	novel_motif
M6	ME3W	ME3W.M9	411617	worker	novel_motif
M6	ME3W	ME3W.M9	408438	worker	novel_motif
M6	ME3W	ME3W.M9	408435	worker	novel_motif
M6	ME3W	ME3W.M9	409829	worker	novel_motif
M6	ME3W	ME3W.M9	113218526	worker	novel_motif
M6	ME3W	ME3W.M9	726790	worker	novel_motif
M6	ME3W	ME3W.M9	726065	worker	novel_motif
M6	ME3W	ME3W.M9	409108	worker	novel_motif
M6	ME3W	ME3W.M9	724292	worker	novel_motif
M6	ME3W	ME3W.M9	100820634	worker	novel_motif
M6	ME3W	ME3W.M9	413109	worker	novel_motif
M6	ME3W	ME3W.M9	410309	worker	novel_motif
M6	ME3W	ME3W.M9	412215	worker	novel_motif
M6	ME3W	ME3W.M9	409061	worker	novel_motif
M6	ME3W	ME3W.M9	100578780	worker	novel_motif
M6	ME3W	ME3W.M9	724458	worker	novel_motif
M6	ME3W	ME3W.M9	413504	worker	novel_motif
M6	ME3W	ME3W.M9	107965037	worker	novel_motif
M6	ME3W	ME3W.M9	724767	worker	novel_motif
M6	ME3W	ME3W.M9	726262	worker	novel_motif
M6	ME3W	ME3W.M9	113219057	worker	novel_motif
M6	ME3W	ME3W.M9	409001	worker	novel_motif
M6	ME3W	ME3W.M9	409012	worker	novel_motif
M6	ME3W	ME3W.M9	406153	worker	novel_motif
M6	ME3W	ME3W.M9	409018	worker	novel_motif
M6	ME3W	ME3W.M9	413382	worker	novel_motif
M6	ME3W	ME3W.M9	113218954	worker	novel_motif
M6	ME3W	ME3W.M9	726829	worker	novel_motif
M6	ME3W	ME3W.M9	102654521	worker	novel_motif
M6	ME3W	ME3W.M9	412838	worker	novel_motif
M6	ME3W	ME3W.M9	409771	worker	novel_motif
M6	ME3W	ME3W.M9	725331	worker	novel_motif
M6	ME3W	ME3W.M9	725220	worker	novel_motif
M6	ME3W	ME3W.M9	406072	worker	novel_motif
M6	ME3W	ME3W.M9	100576948	worker	novel_motif
M6	ME3W	ME3W.M9	408915	worker	novel_motif
M6	ME3W	ME3W.M9	100576293	worker	novel_motif
M6	ME3W	ME3W.M9	551259	worker	novel_motif
M6	ME3W	ME3W.M9	411748	worker	novel_motif
M6	ME3W	ME3W.M9	413410	worker	novel_motif
M6	ME3W	ME3W.M9	413474	worker	novel_motif
M6	ME3W	ME3W.M9	408874	worker	novel_motif
M6	ME3W	ME3W.M9	100577213	worker	novel_motif
M6	ME3W	ME3W.M9	726914	worker	novel_motif
M6	ME3W	ME3W.M9	411113	worker	novel_motif
M6	ME3W	ME3W.M9	113218777	worker	novel_motif
M6	ME3W	ME3W.M9	413170	worker	novel_motif
M6	ME3W	ME3W.M9	411078	worker	novel_motif
M6	ME3W	ME3W.M9	725015	worker	novel_motif
M6	ME3W	ME3W.M9	725126	worker	novel_motif
M6	ME3W	ME3W.M9	724973	worker	novel_motif
M6	ME3W	ME3W.M9	408803	worker	novel_motif
M6	ME3W	ME3W.M9	411038	worker	novel_motif
M6	ME3W	ME3W.M9	413440	worker	novel_motif
M6	ME3W	ME3W.M9	100578955	worker	novel_motif
M6	ME3W	ME3W.M9	102655354	worker	novel_motif
M6	ME3W	ME3W.M9	113218626	worker	novel_motif
M6	ME3W	ME3W.M9	550964	worker	novel_motif
M6	ME3W	ME3W.M9	410956	worker	novel_motif
M6	ME3W	ME3W.M9	413858	worker	novel_motif
M6	ME3W	ME3W.M9	410967	worker	novel_motif
M6	ME3W	ME3W.M9	725829	worker	novel_motif
M6	ME3W	ME3W.M9	107964028	worker	novel_motif
M6	ME3W	ME3W.M9	113218605	worker	novel_motif
M6	ME3W	ME3W.M9	100577670	worker	novel_motif
M6	ME3W	ME3W.M9	409038	worker	novel_motif
M6	ME3W	ME3W.M9	100578498	worker	novel_motif
M6	ME3W	ME3W.M9	102655706	worker	novel_motif
M6	ME3W	ME3W.M9	412354	worker	novel_motif
M6	ME3W	ME3W.M9	551071	worker	novel_motif
M6	ME3W	ME3W.M9	725284	worker	novel_motif
M6	ME3W	ME3W.M9	410035	worker	novel_motif
M6	ME3W	ME3W.M9	552530	worker	novel_motif
