Motivo;Modulo;Target_id;relacao_conserv_dmel;status;Gene_Symbol
C1-M5;M4W;408686;nao;TFBS_identificado;408686
M14;ME6W;408780;nao;Predited_only;408780
C2-M3;ME1W;408788;sim;TFBS_identificado;Ugt36D1
C2-M4;ME3W;408803;nao;TFBS_identificado;408803
C2-M5;ME3W;408803;nao;TFBS_identificado;408803
M12;ME3W;408803;nao;Predited_only;408803
M13;ME3W;408803;nao;Predited_only;408803
M6;ME3W;408803;nao;Predited_only;408803
M8;ME3W;408803;nao;Predited_only;408803
M9;ME3W;408803;nao;Predited_only;408803
C2-M3;ME1W;408819;sim;TFBS_identificado;408819
M3;ME1W;408819;nao;Predited_only;408819
C2-M3;ME1W;408837;sim;TFBS_identificado;COX5A
C2-M3;ME1W;408871;nao;TFBS_identificado;Sodh2
M1;ME1W;408871;nao;Predited_only;Sodh2
C2-M4;ME3W;408874;sim;TFBS_identificado;kmr
C2-M5;ME3W;408874;nao;TFBS_identificado;kmr
C2-M7;ME3W;408874;nao;TFBS_identificado;kmr
M10;ME3W;408874;nao;Predited_only;kmr
M11;ME3W;408874;nao;Predited_only;kmr
M13;ME3W;408874;nao;Predited_only;kmr
M6;ME3W;408874;nao;Predited_only;kmr
M7;ME3W;408874;nao;Predited_only;kmr
M8;ME3W;408874;nao;Predited_only;kmr
M9;ME3W;408874;nao;Predited_only;kmr
M14;ME6W;408903;nao;Predited_only;408903
C2-M3;ME1W;408909;sim;TFBS_identificado;ND-20
C2-M4;ME3W;408915;nao;TFBS_identificado;408915
C2-M5;ME3W;408915;nao;TFBS_identificado;408915
C2-M7;ME3W;408915;nao;TFBS_identificado;408915
M10;ME3W;408915;nao;Predited_only;408915
M11;ME3W;408915;nao;Predited_only;408915
M13;ME3W;408915;nao;Predited_only;408915
M6;ME3W;408915;nao;Predited_only;408915
M7;ME3W;408915;nao;Predited_only;408915
M9;ME3W;408915;nao;Predited_only;408915
C2-M3;ME1W;408950;sim;TFBS_identificado;Mdh2
M2;ME1W;408950;nao;Predited_only;Mdh2
C2-M3;ME1W;408982;sim;TFBS_identificado;elm
M4;ME1W;408983;nao;Predited_only;Sec23
C2-M4;ME3W;409001;sim;TFBS_identificado;DAAM
C2-M5;ME3W;409001;nao;TFBS_identificado;DAAM
C2-M7;ME3W;409001;nao;TFBS_identificado;DAAM
M10;ME3W;409001;nao;Predited_only;DAAM
M11;ME3W;409001;nao;Predited_only;DAAM
M12;ME3W;409001;nao;Predited_only;DAAM
M6;ME3W;409001;nao;Predited_only;DAAM
M7;ME3W;409001;nao;Predited_only;DAAM
M8;ME3W;409001;nao;Predited_only;DAAM
M9;ME3W;409001;nao;Predited_only;DAAM
C2-M4;ME3W;409012;nao;TFBS_identificado;brp
C2-M5;ME3W;409012;nao;TFBS_identificado;brp
C2-M7;ME3W;409012;nao;TFBS_identificado;brp
M10;ME3W;409012;nao;Predited_only;brp
M11;ME3W;409012;nao;Predited_only;brp
M12;ME3W;409012;nao;Predited_only;brp
M13;ME3W;409012;nao;Predited_only;brp
M6;ME3W;409012;nao;Predited_only;brp
M7;ME3W;409012;nao;Predited_only;brp
M9;ME3W;409012;nao;Predited_only;brp
C2-M3;ME1W;409015;nao;TFBS_identificado;eEF1delta
C2-M5;ME3W;409018;nao;TFBS_identificado;Para
M10;ME3W;409018;nao;Predited_only;Para
M6;ME3W;409018;nao;Predited_only;Para
M8;ME3W;409018;nao;Predited_only;Para
C2-M3;ME1W;409023;sim;TFBS_identificado;409023
C2-M3;ME1W;409025;nao;TFBS_identificado;Karl
M2;ME1W;409025;nao;Predited_only;Karl
C2-M3;ME1W;409026;sim;TFBS_identificado;bai
C2-M7;ME3W;409038;nao;TFBS_identificado;409038
M10;ME3W;409038;nao;Predited_only;409038
M6;ME3W;409038;nao;Predited_only;409038
M7;ME3W;409038;nao;Predited_only;409038
C2-M4;ME3W;409061;nao;TFBS_identificado;Cad96Ca
C2-M7;ME3W;409061;nao;TFBS_identificado;Cad96Ca
M10;ME3W;409061;nao;Predited_only;Cad96Ca
M11;ME3W;409061;nao;Predited_only;Cad96Ca
M12;ME3W;409061;nao;Predited_only;Cad96Ca
M13;ME3W;409061;nao;Predited_only;Cad96Ca
M6;ME3W;409061;nao;Predited_only;Cad96Ca
M7;ME3W;409061;nao;Predited_only;Cad96Ca
M8;ME3W;409061;nao;Predited_only;Cad96Ca
C2-M3;ME1W;409074;sim;TFBS_identificado;VhaPPA1-1
C2-M3;ME1W;409090;nao;TFBS_identificado;409090
M4;ME1W;409090;nao;Predited_only;409090
M14;ME6W;409091;nao;Predited_only;409091
C2-M3;ME1W;409097;nao;TFBS_identificado;MsrA
C2-M5;ME3W;409108;nao;TFBS_identificado;RhoGEF3
C2-M7;ME3W;409108;nao;TFBS_identificado;RhoGEF3
M10;ME3W;409108;nao;Predited_only;RhoGEF3
M11;ME3W;409108;nao;Predited_only;RhoGEF3
M6;ME3W;409108;nao;Predited_only;RhoGEF3
M8;ME3W;409108;nao;Predited_only;RhoGEF3
M9;ME3W;409108;nao;Predited_only;RhoGEF3
C2-M3;ME1W;409114;sim;TFBS_identificado;blw
C2-M3;ME1W;409124;nao;TFBS_identificado;cv
C2-M3;ME1W;409129;nao;TFBS_identificado;mRpS10
C2-M3;ME1W;409130;sim;TFBS_identificado;IscU
M1;ME1W;409130;nao;Predited_only;IscU
C2-M3;ME1W;409141;sim;TFBS_identificado;409141
C2-M3;ME1W;409145;sim;TFBS_identificado;Zip102B
C2-M3;ME1W;409148;sim;TFBS_identificado;ATPsynC
C2-M3;ME1W;409150;sim;TFBS_identificado;Echs1
C2-M3;ME1W;409155;sim;TFBS_identificado;409155
M4;ME1W;409155;nao;Predited_only;409155
C2-M3;ME1W;409183;nao;TFBS_identificado;409183
C1-M5;M4W;409184;nao;TFBS_identificado;409184
C2-M3;ME1W;409189;nao;TFBS_identificado;Mics1
C2-M3;ME1W;409196;nao;TFBS_identificado;409196
M3;ME1W;409201;nao;Predited_only;Apt1
C2-M3;ME1W;409202;sim;TFBS_identificado;RpS9
C2-M3;ME1W;409224;nao;TFBS_identificado;Coq7
C1-M5;M4W;409226;nao;TFBS_identificado;casp
C2-M7;ME3W;409291;nao;TFBS_identificado;409291
M10;ME3W;409291;nao;Predited_only;409291
M8;ME3W;409291;nao;Predited_only;409291
C2-M3;ME1W;409294;sim;TFBS_identificado;RpL23
C2-M3;ME1W;409306;nao;TFBS_identificado;BckdhB
C2-M3;ME1W;409308;nao;TFBS_identificado;409308
C2-M3;ME1W;409326;sim;TFBS_identificado;RpS2
M5;ME1W;409326;nao;Predited_only;RpS2
C1-M5;M4W;409351;nao;TFBS_identificado;ICA69
C2-M3;ME1W;409356;sim;TFBS_identificado;SmB
C2-M3;ME1W;409379;sim;TFBS_identificado;eIF4H1
M1;ME1W;409379;nao;Predited_only;eIF4H1
M4;ME1W;409379;nao;Predited_only;eIF4H1
C2-M3;ME1W;409386;sim;TFBS_identificado;ben
C2-M3;ME1W;409397;sim;TFBS_identificado;twr
C2-M3;ME1W;409398;nao;TFBS_identificado;Sod1
C2-M3;ME1W;409405;sim;TFBS_identificado;Det
C2-M3;ME1W;409406;nao;TFBS_identificado;Ntf-2
M4;ME1W;409406;nao;Predited_only;Ntf-2
C2-M3;ME1W;409409;nao;TFBS_identificado;409409
M5;ME1W;409409;nao;Predited_only;409409
C2-M3;ME1W;409418;sim;TFBS_identificado;Hsc70-4
M4;ME1W;409418;nao;Predited_only;Hsc70-4
C2-M3;ME1W;409420;sim;TFBS_identificado;Cox11
M4;ME1W;409420;nao;Predited_only;Cox11
C2-M3;ME1W;409450;sim;TFBS_identificado;Rack1
C2-M3;ME1W;409451;sim;TFBS_identificado;Trx2
C2-M3;ME1W;409473;nao;TFBS_identificado;ND-19
C2-M3;ME1W;409481;sim;TFBS_identificado;Arf79F
M4;ME1W;409481;nao;Predited_only;Arf79F
C2-M3;ME1W;409488;nao;TFBS_identificado;409488
C2-M3;ME1W;409489;nao;TFBS_identificado;Aps
M4;ME1W;409489;nao;Predited_only;Aps
C2-M3;ME1W;409500;nao;TFBS_identificado;mge
M4;ME1W;409500;nao;Predited_only;mge
C2-M3;ME1W;409528;sim;TFBS_identificado;RpL7A
M4;ME1W;409528;nao;Predited_only;RpL7A
C2-M3;ME1W;409549;sim;TFBS_identificado;SdhC
M3;ME1W;409549;nao;Predited_only;SdhC
C2-M3;ME1W;409552;nao;TFBS_identificado;RpS10b
C2-M3;ME1W;409571;nao;TFBS_identificado;Grasp65
C2-M3;ME1W;409586;sim;TFBS_identificado;ND-B22
C2-M3;ME1W;409589;sim;TFBS_identificado;RpL10
M3;ME1W;409589;nao;Predited_only;RpL10
C2-M3;ME1W;409599;sim;TFBS_identificado;RpL35A
M4;ME1W;409599;nao;Predited_only;RpL35A
C2-M3;ME1W;409613;sim;TFBS_identificado;Sar1
C2-M3;ME1W;409614;nao;TFBS_identificado;GXIVsPLA2
C2-M3;ME1W;409622;sim;TFBS_identificado;409622
C2-M3;ME1W;409628;sim;TFBS_identificado;CDase
C1-M5;M4W;409639;nao;TFBS_identificado;409639
C2-M3;ME1W;409645;nao;TFBS_identificado;409645
M14;ME6W;409665;nao;Predited_only;409665
C2-M4;ME3W;409674;nao;TFBS_identificado;409674
C2-M7;ME3W;409674;nao;TFBS_identificado;409674
M10;ME3W;409674;nao;Predited_only;409674
M11;ME3W;409674;nao;Predited_only;409674
M12;ME3W;409674;nao;Predited_only;409674
M13;ME3W;409674;nao;Predited_only;409674
M6;ME3W;409674;nao;Predited_only;409674
M7;ME3W;409674;nao;Predited_only;409674
M8;ME3W;409674;nao;Predited_only;409674
M9;ME3W;409674;nao;Predited_only;409674
C2-M3;ME1W;409699;nao;TFBS_identificado;409699
M14;ME6W;409715;nao;Predited_only;NKCC
C2-M3;ME1W;409723;sim;TFBS_identificado;tko
C2-M3;ME1W;409726;sim;TFBS_identificado;Fic
M5;ME1W;409726;nao;Predited_only;Fic
C2-M3;ME1W;409749;nao;TFBS_identificado;MED31
M4;ME1W;409749;nao;Predited_only;MED31
M12;ME3W;409771;nao;Predited_only;409771
M6;ME3W;409771;nao;Predited_only;409771
M7;ME3W;409771;nao;Predited_only;409771
C2-M3;ME1W;409773;sim;TFBS_identificado;Fdh
C2-M3;ME1W;409790;sim;TFBS_identificado;409790
C2-M3;ME1W;409796;sim;TFBS_identificado;eIF3j
C2-M3;ME1W;409802;nao;TFBS_identificado;Prosalpha2
C1-M5;M4W;409806;nao;TFBS_identificado;IntS12
C2-M3;ME1W;409814;sim;TFBS_identificado;409814
M4;ME1W;409814;nao;Predited_only;409814
C2-M3;ME1W;409825;nao;TFBS_identificado;CCT5
C2-M4;ME3W;409829;nao;TFBS_identificado;409829
C2-M5;ME3W;409829;nao;TFBS_identificado;409829
C2-M7;ME3W;409829;nao;TFBS_identificado;409829
M11;ME3W;409829;nao;Predited_only;409829
M6;ME3W;409829;nao;Predited_only;409829
M7;ME3W;409829;nao;Predited_only;409829
M8;ME3W;409829;nao;Predited_only;409829
M9;ME3W;409829;nao;Predited_only;409829
C2-M3;ME1W;409831;sim;TFBS_identificado;Prosbeta1
C2-M3;ME1W;409832;sim;TFBS_identificado;RpL18A
C2-M3;ME1W;409861;sim;TFBS_identificado;awd
M4;ME1W;409861;nao;Predited_only;awd
M3;ME1W;409862;nao;Predited_only;SC35
C2-M3;ME1W;409870;sim;TFBS_identificado;Spp
C2-M3;ME1W;409890;sim;TFBS_identificado;Cyp1
C2-M3;ME1W;409899;nao;TFBS_identificado;409899
C2-M3;ME1W;409920;sim;TFBS_identificado;Uev1A
C2-M3;ME1W;409926;nao;TFBS_identificado;mRpL12
C2-M3;ME1W;409930;sim;TFBS_identificado;ATPsynF
M4;ME1W;409930;nao;Predited_only;ATPsynF
C2-M3;ME1W;409932;sim;TFBS_identificado;sbm
C2-M3;ME1W;409934;nao;TFBS_identificado;Vap33
C2-M3;ME1W;409954;sim;TFBS_identificado;Prx2
C2-M3;ME1W;409961;sim;TFBS_identificado;Hrb27C
M4;ME1W;409961;nao;Predited_only;Hrb27C
C2-M3;ME1W;409976;nao;TFBS_identificado;loj
C2-M3;ME1W;410017;nao;TFBS_identificado;410017
C2-M3;ME1W;410022;nao;TFBS_identificado;UQCR-C1
C2-M3;ME1W;410030;sim;TFBS_identificado;Sec13
C2-M4;ME3W;410035;nao;TFBS_identificado;sog
C2-M5;ME3W;410035;nao;TFBS_identificado;sog
C2-M7;ME3W;410035;nao;TFBS_identificado;sog
M11;ME3W;410035;nao;Predited_only;sog
M12;ME3W;410035;nao;Predited_only;sog
M13;ME3W;410035;nao;Predited_only;sog
M6;ME3W;410035;nao;Predited_only;sog
M7;ME3W;410035;nao;Predited_only;sog
M8;ME3W;410035;nao;Predited_only;sog
C2-M3;ME1W;410039;nao;TFBS_identificado;Nfs1
C2-M3;ME1W;410040;sim;TFBS_identificado;SF2
M3;ME1W;410040;nao;Predited_only;SF2
C2-M3;ME1W;410043;nao;TFBS_identificado;Odc1
C2-M3;ME1W;410062;sim;TFBS_identificado;410062
C2-M3;ME1W;410065;nao;TFBS_identificado;Cpap3-d
C2-M3;ME1W;410082;sim;TFBS_identificado;Sod2
M4;ME1W;410082;nao;Predited_only;Sod2
C2-M3;ME1W;410094;sim;TFBS_identificado;410094
C2-M3;ME1W;410100;nao;TFBS_identificado;eIF3b
C2-M3;ME1W;410120;sim;TFBS_identificado;410120
C2-M3;ME1W;410122;nao;TFBS_identificado;Gapdh1
C2-M3;ME1W;410128;sim;TFBS_identificado;410128
C2-M5;ME3W;410166;nao;TFBS_identificado;410166
C2-M7;ME3W;410166;nao;TFBS_identificado;410166
M10;ME3W;410166;nao;Predited_only;410166
M11;ME3W;410166;nao;Predited_only;410166
M12;ME3W;410166;nao;Predited_only;410166
M13;ME3W;410166;nao;Predited_only;410166
M7;ME3W;410166;nao;Predited_only;410166
M9;ME3W;410166;nao;Predited_only;410166
C2-M3;ME1W;410188;sim;TFBS_identificado;RpL8
C2-M3;ME1W;410218;nao;TFBS_identificado;Spase25
C2-M3;ME1W;410258;sim;TFBS_identificado;Sps1
M1;ME1W;410280;nao;Predited_only;Ran
M3;ME1W;410280;nao;Predited_only;Ran
M4;ME1W;410280;nao;Predited_only;Ran
C2-M3;ME1W;410296;nao;TFBS_identificado;410296
C2-M3;ME1W;410308;sim;TFBS_identificado;Etfb
C2-M4;ME3W;410309;sim;TFBS_identificado;E75
C2-M5;ME3W;410309;nao;TFBS_identificado;E75
C2-M7;ME3W;410309;nao;TFBS_identificado;E75
M10;ME3W;410309;nao;Predited_only;E75
M11;ME3W;410309;nao;Predited_only;E75
M12;ME3W;410309;nao;Predited_only;E75
M13;ME3W;410309;nao;Predited_only;E75
M6;ME3W;410309;nao;Predited_only;E75
M7;ME3W;410309;nao;Predited_only;E75
M8;ME3W;410309;nao;Predited_only;E75
M9;ME3W;410309;nao;Predited_only;E75
C2-M3;ME1W;410403;nao;TFBS_identificado;REG
C2-M3;ME1W;410420;sim;TFBS_identificado;410420
C2-M3;ME1W;410486;sim;TFBS_identificado;sta
M14;ME6W;410538;nao;Predited_only;410538
C1-M5;M4W;410556;nao;TFBS_identificado;410556
M14;ME6W;410600;nao;Predited_only;Meltrin
C2-M3;ME1W;410612;sim;TFBS_identificado;410612
C2-M3;ME1W;410636;sim;TFBS_identificado;Cisd2
M4;ME1W;410638;nao;Predited_only;Ddc
C2-M3;ME1W;410663;nao;TFBS_identificado;410663
C2-M3;ME1W;410678;sim;TFBS_identificado;mRpS11
C2-M3;ME1W;410740;sim;TFBS_identificado;410740
C2-M3;ME1W;410890;nao;TFBS_identificado;sel
M6;ME3W;410956;nao;Predited_only;nmo
C2-M5;ME3W;410967;nao;TFBS_identificado;E23
M10;ME3W;410967;nao;Predited_only;E23
M11;ME3W;410967;nao;Predited_only;E23
M12;ME3W;410967;nao;Predited_only;E23
M13;ME3W;410967;nao;Predited_only;E23
M6;ME3W;410967;nao;Predited_only;E23
M8;ME3W;410967;nao;Predited_only;E23
M9;ME3W;410967;nao;Predited_only;E23
C2-M3;ME1W;411014;nao;TFBS_identificado;Mdh1
M14;ME6W;411018;nao;Predited_only;411018
C2-M5;ME3W;411038;nao;TFBS_identificado;ec
C2-M7;ME3W;411038;nao;TFBS_identificado;ec
M6;ME3W;411038;nao;Predited_only;ec
M8;ME3W;411038;nao;Predited_only;ec
M9;ME3W;411038;nao;Predited_only;ec
C2-M4;ME3W;411078;nao;TFBS_identificado;side-VII
C2-M5;ME3W;411078;nao;TFBS_identificado;side-VII
C2-M7;ME3W;411078;nao;TFBS_identificado;side-VII
M10;ME3W;411078;nao;Predited_only;side-VII
M11;ME3W;411078;nao;Predited_only;side-VII
M13;ME3W;411078;nao;Predited_only;side-VII
M6;ME3W;411078;nao;Predited_only;side-VII
M7;ME3W;411078;nao;Predited_only;side-VII
M9;ME3W;411078;nao;Predited_only;side-VII
C2-M4;ME3W;411113;nao;TFBS_identificado;kcc
C2-M5;ME3W;411113;nao;TFBS_identificado;kcc
C2-M7;ME3W;411113;nao;TFBS_identificado;kcc
M10;ME3W;411113;nao;Predited_only;kcc
M11;ME3W;411113;nao;Predited_only;kcc
M13;ME3W;411113;nao;Predited_only;kcc
M6;ME3W;411113;nao;Predited_only;kcc
M7;ME3W;411113;nao;Predited_only;kcc
M8;ME3W;411113;nao;Predited_only;kcc
M9;ME3W;411113;nao;Predited_only;kcc
C2-M3;ME1W;411142;nao;TFBS_identificado;Slc25A46a
C2-M3;ME1W;411183;sim;TFBS_identificado;RFeSP
C2-M3;ME1W;411191;sim;TFBS_identificado;Polr3H
M4;ME1W;411191;nao;Predited_only;Polr3H
C2-M3;ME1W;411206;sim;TFBS_identificado;Prosbeta5
M2;ME1W;411231;nao;Predited_only;Tfb4
C2-M3;ME1W;411266;nao;TFBS_identificado;411266
C2-M3;ME1W;411269;nao;TFBS_identificado;411269
M1;ME1W;411269;nao;Predited_only;411269
M2;ME1W;411269;nao;Predited_only;411269
C2-M3;ME1W;411378;nao;TFBS_identificado;411378
C2-M3;ME1W;411380;sim;TFBS_identificado;RpL30
C2-M3;ME1W;411385;nao;TFBS_identificado;411385
M1;ME1W;411385;nao;Predited_only;411385
C2-M3;ME1W;411411;sim;TFBS_identificado;ND-30
C2-M3;ME1W;411423;nao;TFBS_identificado;411423
M14;ME6W;411490;nao;Predited_only;fdl
C2-M3;ME1W;411493;nao;TFBS_identificado;411493
C2-M3;ME1W;411515;sim;TFBS_identificado;RpL36A
M2;ME1W;411515;nao;Predited_only;RpL36A
M5;ME1W;411515;nao;Predited_only;RpL36A
C2-M3;ME1W;411613;nao;TFBS_identificado;411613
C2-M4;ME3W;411617;nao;TFBS_identificado;411617
M6;ME3W;411617;nao;Predited_only;411617
M7;ME3W;411617;nao;Predited_only;411617
M8;ME3W;411617;nao;Predited_only;411617
M9;ME3W;411617;nao;Predited_only;411617
C2-M3;ME1W;411677;sim;TFBS_identificado;Mpc1
C2-M3;ME1W;411691;nao;TFBS_identificado;411691
C2-M3;ME1W;411695;sim;TFBS_identificado;Prosbeta6
C2-M3;ME1W;411732;sim;TFBS_identificado;411732
M4;ME1W;411732;nao;Predited_only;411732
C2-M4;ME3W;411748;nao;TFBS_identificado;411748
C2-M5;ME3W;411748;nao;TFBS_identificado;411748
C2-M7;ME3W;411748;nao;TFBS_identificado;411748
M10;ME3W;411748;nao;Predited_only;411748
M11;ME3W;411748;nao;Predited_only;411748
M13;ME3W;411748;nao;Predited_only;411748
M6;ME3W;411748;nao;Predited_only;411748
M7;ME3W;411748;nao;Predited_only;411748
M9;ME3W;411748;nao;Predited_only;411748
C2-M3;ME1W;411924;nao;TFBS_identificado;mRpS25
C2-M3;ME1W;411936;sim;TFBS_identificado;Pfdn5
C2-M4;ME3W;411958;nao;TFBS_identificado;411958
C2-M5;ME3W;411958;nao;TFBS_identificado;411958
C2-M7;ME3W;411958;nao;TFBS_identificado;411958
M10;ME3W;411958;nao;Predited_only;411958
M12;ME3W;411958;nao;Predited_only;411958
M6;ME3W;411958;nao;Predited_only;411958
M9;ME3W;411958;nao;Predited_only;411958
C2-M3;ME1W;412127;sim;TFBS_identificado;412127
C2-M3;ME1W;412141;nao;TFBS_identificado;Ostgamma
C2-M3;ME1W;412193;nao;TFBS_identificado;412193
M6;ME3W;412215;nao;Predited_only;kkv
C2-M3;ME1W;412304;nao;TFBS_identificado;DHRS4
C2-M3;ME1W;412328;nao;TFBS_identificado;ND-13A
C2-M3;ME1W;412349;sim;TFBS_identificado;EMC4
C2-M5;ME3W;412354;nao;TFBS_identificado;RhoGEF64C
C2-M7;ME3W;412354;nao;TFBS_identificado;RhoGEF64C
M11;ME3W;412354;nao;Predited_only;RhoGEF64C
M13;ME3W;412354;nao;Predited_only;RhoGEF64C
M6;ME3W;412354;nao;Predited_only;RhoGEF64C
M7;ME3W;412354;nao;Predited_only;RhoGEF64C
M8;ME3W;412354;nao;Predited_only;RhoGEF64C
M9;ME3W;412354;nao;Predited_only;RhoGEF64C
C2-M3;ME1W;412388;nao;TFBS_identificado;Rcd-1
C2-M3;ME1W;412396;sim;TFBS_identificado;COX4
C2-M3;ME1W;412526;nao;TFBS_identificado;CaBP1
C2-M3;ME1W;412549;nao;TFBS_identificado;mRpL17
C2-M3;ME1W;412602;sim;TFBS_identificado;pAbp
C1-M5;M4W;412617;nao;TFBS_identificado;412617
C2-M5;ME3W;412739;nao;TFBS_identificado;robo1
C2-M7;ME3W;412739;nao;TFBS_identificado;robo1
M10;ME3W;412739;nao;Predited_only;robo1
M11;ME3W;412739;nao;Predited_only;robo1
