"Gene Name","Category","Terms"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","UP_KW_MOLECULAR_FUNCTION","Ion channel"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","UP_KW_MOLECULAR_FUNCTION","Receptor"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","UP_KW_MOLECULAR_FUNCTION","Ligand-gated ion channel"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","UP_KW_PTM","Glycoprotein"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","UP_KW_PTM","Disulfide bond"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","UP_SEQ_FEATURE","COMPBIAS:Basic residues"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","UP_SEQ_FEATURE","COMPBIAS:Polar residues"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","UP_SEQ_FEATURE","DOMAIN:Neurotransmitter-gated ion-channel ligand-binding"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","UP_SEQ_FEATURE","DOMAIN:Neurotransmitter-gated ion-channel transmembrane"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","UP_SEQ_FEATURE","REGION:Disordered"
"nicotinic acetylcholine receptor alpha7 subunit(nAChRa7)","UP_SEQ_FEATURE","TRANSMEM:Helical"
"potassium channel subfamily K member 18(LOC409771)","GOTERM_BP_DIRECT","stabilization of membrane potential"
"potassium channel subfamily K member 18(LOC409771)","GOTERM_BP_DIRECT","potassium ion transmembrane transport"
"potassium channel subfamily K member 18(LOC409771)","GOTERM_CC_DIRECT","plasma membrane"
"potassium channel subfamily K member 18(LOC409771)","GOTERM_CC_DIRECT","membrane"
"potassium channel subfamily K member 18(LOC409771)","GOTERM_MF_DIRECT","outward rectifier potassium channel activity"
"potassium channel subfamily K member 18(LOC409771)","GOTERM_MF_DIRECT","potassium ion leak channel activity"
"potassium channel subfamily K member 18(LOC409771)","INTERPRO","2pore_dom_K_chnl"
"potassium channel subfamily K member 18(LOC409771)","INTERPRO","K_chnl_dom"
"potassium channel subfamily K member 18(LOC409771)","UP_KW_BIOLOGICAL_PROCESS","Transport"
"potassium channel subfamily K member 18(LOC409771)","UP_KW_CELLULAR_COMPONENT","Membrane"
"potassium channel subfamily K member 18(LOC409771)","UP_KW_MOLECULAR_FUNCTION","Ion channel"
"potassium channel subfamily K member 18(LOC409771)","UP_SEQ_FEATURE","COMPBIAS:Polar residues"
"potassium channel subfamily K member 18(LOC409771)","UP_SEQ_FEATURE","DOMAIN:Potassium channel"
"potassium channel subfamily K member 18(LOC409771)","UP_SEQ_FEATURE","REGION:Disordered"
"potassium channel subfamily K member 18(LOC409771)","UP_SEQ_FEATURE","TRANSMEM:Helical"
"probable cytochrome P450 6a14(LOC725159)","COG_ONTOLOGY","Secondary metabolites biosynthesis, transport, and catabolism"
"probable cytochrome P450 6a14(LOC725159)","GOTERM_CC_DIRECT","endoplasmic reticulum membrane"
"probable cytochrome P450 6a14(LOC725159)","GOTERM_MF_DIRECT","monooxygenase activity"
"probable cytochrome P450 6a14(LOC725159)","GOTERM_MF_DIRECT","iron ion binding"
"probable cytochrome P450 6a14(LOC725159)","GOTERM_MF_DIRECT","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
"probable cytochrome P450 6a14(LOC725159)","GOTERM_MF_DIRECT","heme binding"
"probable cytochrome P450 6a14(LOC725159)","INTERPRO","Cyt_P450"
"probable cytochrome P450 6a14(LOC725159)","INTERPRO","Cyt_P450_E_grp-IV"
"probable cytochrome P450 6a14(LOC725159)","INTERPRO","Cyt_P450_CS"
"probable cytochrome P450 6a14(LOC725159)","INTERPRO","Cyt_P450_sf"
"probable cytochrome P450 6a14(LOC725159)","INTERPRO","Insect_CytP450_Detox"
"probable cytochrome P450 6a14(LOC725159)","UP_KW_CELLULAR_COMPONENT","Endoplasmic reticulum"
"probable cytochrome P450 6a14(LOC725159)","UP_KW_CELLULAR_COMPONENT","Membrane"
"probable cytochrome P450 6a14(LOC725159)","UP_KW_CELLULAR_COMPONENT","Microsome"
"probable cytochrome P450 6a14(LOC725159)","UP_KW_DOMAIN","Transmembrane"
"probable cytochrome P450 6a14(LOC725159)","UP_KW_DOMAIN","Transmembrane helix"
"probable cytochrome P450 6a14(LOC725159)","UP_KW_LIGAND","Heme"
"probable cytochrome P450 6a14(LOC725159)","UP_KW_LIGAND","Iron"
"probable cytochrome P450 6a14(LOC725159)","UP_SEQ_FEATURE","BINDING:axial binding residue"
"probable cytochrome P450 6a14(LOC725159)","UP_SEQ_FEATURE","TRANSMEM:Helical"
"pupal cuticle protein 20(LOC726950)","GOTERM_CC_DIRECT","chitin-based extracellular matrix"
"pupal cuticle protein 20(LOC726950)","GOTERM_MF_DIRECT","structural constituent of chitin-based larval cuticle"
"pupal cuticle protein 20(LOC726950)","INTERPRO","Insect_cuticle"
"pupal cuticle protein 20(LOC726950)","INTERPRO","CHIT_BIND_RR_consensus"
"pupal cuticle protein 20(LOC726950)","INTERPRO","Cuticle_Struct_Prot"
"pupal cuticle protein 20(LOC726950)","UP_KW_DOMAIN","Signal"
"pupal cuticle protein 20(LOC726950)","UP_SEQ_FEATURE","COMPBIAS:Polar residues"
"pupal cuticle protein 20(LOC726950)","UP_SEQ_FEATURE","REGION:Disordered"
"sodium channel protein Nach(LOC724767)","GOTERM_BP_DIRECT","sodium ion transmembrane transport"
"sodium channel protein Nach(LOC724767)","GOTERM_CC_DIRECT","plasma membrane"
"sodium channel protein Nach(LOC724767)","GOTERM_CC_DIRECT","membrane"
"sodium channel protein Nach(LOC724767)","GOTERM_MF_DIRECT","ligand-gated sodium channel activity"
"sodium channel protein Nach(LOC724767)","INTERPRO","ENaC"
"sodium channel protein Nach(LOC724767)","UP_KW_BIOLOGICAL_PROCESS","Transport"
"sodium channel protein Nach(LOC724767)","UP_KW_CELLULAR_COMPONENT","Membrane"
"sodium channel protein Nach(LOC724767)","UP_KW_DOMAIN","Transmembrane"
"sodium channel protein Nach(LOC724767)","UP_KW_LIGAND","Sodium"
"sodium channel protein Nach(LOC724767)","UP_KW_MOLECULAR_FUNCTION","Ion channel"
"sodium channel protein Nach(LOC724767)","UP_SEQ_FEATURE","TRANSMEM:Helical"
"tricalbin-3(LOC100578498)","GOTERM_BP_DIRECT","lipid transport"
"tricalbin-3(LOC100578498)","GOTERM_CC_DIRECT","membrane"
"tricalbin-3(LOC100578498)","GOTERM_MF_DIRECT","lipid binding"
"tricalbin-3(LOC100578498)","INTERPRO","C2_dom"
"tricalbin-3(LOC100578498)","INTERPRO","SMP_LBD"
"tricalbin-3(LOC100578498)","INTERPRO","C2_domain_sf"
"tricalbin-3(LOC100578498)","INTERPRO","Tricalbin_domain"
"tricalbin-3(LOC100578498)","SMART","C2"
"tricalbin-3(LOC100578498)","UP_KW_BIOLOGICAL_PROCESS","Lipid transport"
"tricalbin-3(LOC100578498)","UP_KW_BIOLOGICAL_PROCESS","Transport"
"tricalbin-3(LOC100578498)","UP_KW_CELLULAR_COMPONENT","Membrane"
"tricalbin-3(LOC100578498)","UP_KW_DOMAIN","Transmembrane"
"tricalbin-3(LOC100578498)","UP_KW_DOMAIN","Transmembrane helix"
"tricalbin-3(LOC100578498)","UP_KW_LIGAND","Lipid-binding"
"tricalbin-3(LOC100578498)","UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues"
"tricalbin-3(LOC100578498)","UP_SEQ_FEATURE","COMPBIAS:Polar residues"
"tricalbin-3(LOC100578498)","UP_SEQ_FEATURE","DOMAIN:C2"
"tricalbin-3(LOC100578498)","UP_SEQ_FEATURE","DOMAIN:SMP-LTD"
"tricalbin-3(LOC100578498)","UP_SEQ_FEATURE","REGION:Disordered"
"tricalbin-3(LOC100578498)","UP_SEQ_FEATURE","TRANSMEM:Helical"
"uncharacterized LOC409674(LOC409674)","GOTERM_CC_DIRECT","membrane"
"uncharacterized LOC409674(LOC409674)","UP_KW_CELLULAR_COMPONENT","Membrane"
"uncharacterized LOC409674(LOC409674)","UP_KW_DOMAIN","Signal"
"uncharacterized LOC409674(LOC409674)","UP_KW_DOMAIN","Transmembrane"
"uncharacterized LOC409674(LOC409674)","UP_KW_DOMAIN","Transmembrane helix"
"uncharacterized LOC409674(LOC409674)","UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues"
"uncharacterized LOC409674(LOC409674)","UP_SEQ_FEATURE","REGION:Disordered"
"uncharacterized LOC409674(LOC409674)","UP_SEQ_FEATURE","TRANSMEM:Helical"
"uncharacterized LOC413109(LOC413109)","GOTERM_BP_DIRECT","regulation of DNA-templated transcription"
"uncharacterized LOC413109(LOC413109)","GOTERM_CC_DIRECT","nucleus"
"uncharacterized LOC413109(LOC413109)","GOTERM_MF_DIRECT","RNA polymerase II transcription regulatory region sequence-specific DNA binding"
"uncharacterized LOC413109(LOC413109)","GOTERM_MF_DIRECT","RNA polymerase II cis-regulatory region sequence-specific DNA binding"
"uncharacterized LOC413109(LOC413109)","GOTERM_MF_DIRECT","DNA-binding transcription factor activity, RNA polymerase II-specific"
"uncharacterized LOC413109(LOC413109)","INTERPRO","Znf_C2H2_type"
"uncharacterized LOC413109(LOC413109)","INTERPRO","Znf_C2H2_sf"
"uncharacterized LOC413109(LOC413109)","INTERPRO","C2H2-ZF_Transcription_Reg"
"uncharacterized LOC413109(LOC413109)","SMART","ZnF_C2H2"
"uncharacterized LOC413109(LOC413109)","UP_KW_LIGAND","Zinc"
"uncharacterized LOC413109(LOC413109)","UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues"
"uncharacterized LOC413109(LOC413109)","UP_SEQ_FEATURE","COMPBIAS:Polar residues"
"uncharacterized LOC413109(LOC413109)","UP_SEQ_FEATURE","DOMAIN:C2H2-type"
"uncharacterized LOC413109(LOC413109)","UP_SEQ_FEATURE","REGION:Disordered"
"uncharacterized LOC552320(LOC552320)","UP_KW_DOMAIN","Signal"
